Date,Close,High,Low,Open,Volume,Pct_Change,upper_shadow_ratio,lower_shadow_ratio,price_diff_ratio,Vol_Pct_Change,RSI_7,RSI_14,DIF,DEA,MACD,^VIX
2016-01-04,102.21,102.3,100.92,102.16,50807600,-0.17,0.07,0.9,0.0,-23.64,32.66,40.62,-0.17,-0.0,-0.33,20.7
2016-01-05,102.03,102.84,101.56,102.71,38795200,-0.17,0.1,0.37,-0.01,-23.64,31.86,40.1,-0.36,-0.07,-0.58,19.34
2016-01-06,101.05,101.64,100.26,100.26,41891100,-0.96,0.43,0.0,0.01,7.98,27.48,37.26,-0.59,-0.18,-0.82,20.59
2016-01-07,97.89,100.15,97.83,98.9,61386300,-3.13,0.54,0.02,-0.01,46.54,18.11,29.89,-1.01,-0.34,-1.33,24.99
2016-01-08,97.09,99.21,96.98,98.6,69344000,-0.82,0.28,0.05,-0.02,12.96,16.45,28.36,-1.39,-0.55,-1.68,27.01
2016-01-11,97.38,98.07,95.89,97.78,50024100,0.31,0.13,0.69,-0.0,-27.86,19.65,29.8,-1.65,-0.77,-1.76,24.3
2016-01-12,98.51,99.02,97.15,98.32,46734200,1.16,0.27,0.62,0.0,-6.58,31.25,35.12,-1.75,-0.97,-1.56,22.47
2016-01-13,95.12,99.16,94.97,98.91,69870700,-3.45,0.06,0.04,-0.04,49.51,20.74,28.2,-2.08,-1.19,-1.77,25.22
2016-01-14,97.14,97.99,93.97,95.49,78445700,2.13,0.21,0.38,0.02,12.27,35.77,36.26,-2.15,-1.38,-1.53,23.95
2016-01-15,94.13,95.15,92.88,93.92,91443900,-3.1,0.45,0.46,0.0,16.57,26.91,30.73,-2.42,-1.59,-1.66,27.02
2016-01-19,94.33,95.55,93.23,95.41,56563800,0.22,0.06,0.47,-0.01,-38.14,28.32,31.5,-2.58,-1.79,-1.59,26.05
2016-01-20,94.04,95.05,90.78,92.85,86675000,-0.31,0.24,0.48,0.01,53.23,27.45,30.98,-2.71,-1.97,-1.48,27.59
2016-01-21,94.14,95.54,93.17,94.44,61660100,0.1,0.46,0.41,-0.0,-28.86,28.28,31.37,-2.77,-2.13,-1.28,26.69
2016-01-22,96.86,96.9,95.7,96.03,42229800,2.9,0.03,0.27,0.01,-31.51,48.39,41.81,-2.57,-2.22,-0.7,22.34
2016-01-25,95.42,97.07,95.34,96.52,38881500,-1.48,0.32,0.05,-0.01,-7.93,41.27,38.48,-2.5,-2.27,-0.44,24.15
2016-01-26,96.28,96.69,94.98,95.83,36143900,0.9,0.24,0.49,0.0,-7.04,46.74,41.48,-2.34,-2.29,-0.11,22.5
2016-01-27,93.88,96.13,93.48,95.72,54524700,-2.49,0.15,0.15,-0.02,50.85,35.86,36.18,-2.39,-2.31,-0.16,23.11
2016-01-28,95.21,95.48,93.58,95.44,47641500,1.41,0.02,0.86,-0.0,-12.62,44.23,40.69,-2.29,-2.3,0.03,22.42
2016-01-29,97.2,97.23,95.15,95.18,54245100,2.09,0.02,0.01,0.02,13.86,54.59,46.76,-2.02,-2.25,0.44,20.2
